nome;sigla;cidade
Universidade de São Paulo;USP;São Paulo
Universidade Estadual de Campinas;UNICAMP;Campinas
Universidade Federal do Rio de Janeiro;UFRJ;Rio de Janeiro
Universidade Federal de Minas Gerais;UFMG;Belo Horizonte
Universidade Federal do Rio Grande do Sul;UFRGS;Porto Alegre
Universidade Estadual Paulista Júlio de Mesquita Filho;UNESP;São Paulo
Universidade Federal de Santa Catarina;UFSC;Florianópolis
Universidade Federal do Paraná;UFPR;Curitiba
Universidade de Brasília;UnB;Brasília
Universidade Federal de Pernambuco;UFPE;Recife
Universidade Federal do Ceará;UFC;Fortaleza
Universidade Federal de São Carlos;UFSCAR;São Carlos
Universidade do Estado do Rio de Janeiro;UERJ;Rio de Janeiro
Universidade Federal da Bahia;UFBA;Salvador
Universidade Federal de Viçosa;UFV;Viçosa
Universidade Federal de São Paulo;UNIFESP;São Paulo
Universidade Federal Fluminense;UFF;Rio de Janeiro
Pontifícia Universidade Católica do Rio Grande do Sul;PUC-RS;Porto Alegre
Pontifícia Universidade Católica do Rio de Janeiro;PUC-RJ;Rio de Janeiro
Universidade Federal de Goiás;UFG;Goiânia
Universidade Federal de Santa Maria;UFSM;Santa Maria
Universidade Federal do Rio Grande do Norte;UFRN;Natal
Universidade Estadual de Londrina;UEL;Londrina
Universidade Estadual de Maringá;UEM;Maringá
Universidade Federal de Uberlândia;UFU;Uberlândia
Universidade Federal de Juiz de Fora;UFJF;Juiz de Fora
Universidade Federal do Espírito Santo;UFES;Vitória
Universidade Federal de Lavras;UFLA;Lavras
Universidade Federal do Pará;UFPA;Belém
Pontifícia Universidade Católica do Paraná;PUC-PR;Curitiba
Universidade Federal da Paraíba;UFPB;João Pessoa
Universidade Federal de Pelotas;UFPel;Pelotas
Universidade Federal de Mato Grosso;UFMT;Cuiabá
Universidade Presbiteriana Mackenzie;MACKENZIE;São Paulo
Universidade Federal Rural do Rio de Janeiro;UFRRJ;Rio de Janeiro
Universidade do Vale do Rio dos Sinos;UNISINOS;Porto Alegre
Universidade Federal de Sergipe;UFS;Aracaju
Fundação Universidade Federal do Abc;UFABC;São Paulo
Universidade Federal de Ouro Preto;UFOP;Ouro Preto
Fundação Universidade do Estado de Santa Catarina;UDESC;Florianópolis
Universidade Federal de Mato Grosso do Sul;UFMS;Campo Grande
Universidade de Caxias do Sul;UCS;Caxias do Sul
Universidade Estadual do Norte Fluminense Darcy Ribeiro;UENF;Campos dos Goytacazes
Universidade Federal de Campina Grande;UFCG;Campina Grande
Universidade Federal de Alagoas;UFAL;Maceió
Universidade Federal do Triângulo Mineiro;UFTM;Uberaba
Universidade Tecnológica Federal do Paraná;UTFPR;Curitiba
Universidade Estadual de Ponta Grossa;UEPG;Ponta Grossa
Pontifícia Universidade Católica de Minas Gerais;PUC-MG;Belo Horizonte
Universidade Federal de São João Del Rei;UFSJ;São João del-Rei
Universidade Federal do Maranhão;UFMA;São Luís
Universidade Federal do Piauí;UFPI;Teresina
Universidade Federal do Amazonas;UFAM;Manaus
Universidade Federal do Acre;UFAC;Rio Branco
Universidade Federal do Amapá;UNIFAP;Macapá
Universidade Federal de Rondônia;UNIR;Porto Velho
Universidade Federal de Roraima;UFRR;Boa Vista
Universidade Federal do Tocantins;UFT;Palmas
Universidade Estadual do Ceará;UECE;Fortaleza
